"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2751","1983NV029925","FINE-LOAMY",6360591.47226628,3729260.28706947,27,6,"NASIS",NA
"2752","1984NV029909","FINE-LOAMY",6368230.58973922,3741534.1294327,27,6,"NASIS",NA
"2753","1983NV029926","LOAMY-SKELETAL",6385479.75162505,3754301.12100655,20,8,"NASIS",NA
"2754","1983NV029928","LOAMY-SKELETAL",6386110.56131735,3755412.76438458,20,8,"NASIS",NA
"2755","1984NV029910","LOAMY-SKELETAL",6364063.84178168,3734363.65601349,20,8,"NASIS",NA
"2756","1983NV029929","LOAMY-SKELETAL",6380093.13799838,3733498.82698983,20,8,"NASIS",NA
"2757","1978NV029050","LOAMY",6363967.62734942,3733107.31056843,20,8,"NASIS",NA
"2758","1983NV029930","FINE",6368481.74760271,3740354.92861776,48,9,"NASIS",NA
"2759","1983NV029932","CLAYEY-SKELETAL",6367829.33828957,3752763.81564504,64,16,"NASIS",NA
"2760","1982NV029016","LOAMY-SKELETAL",6385530.14295907,3743542.93590096,20,8,"NASIS",NA
"2761","ta-02-300","COARSE-LOAMY",6324970.03448647,3699457.39470918,10,8,"NASIS",NA
"2762","UmF02301","SANDY-SKELETAL",6327802.44127763,3738257.38081638,6,6,"NASIS",NA
"2763","03CA632010",NA,6216605.06522233,3617754.28946347,24,2,"NCSS",75
"2764","03CA632013",NA,6226495.47771035,3613478.42156951,11,2,"NCSS",41
"2765","03CA632016",NA,6220463.25596243,3611841.25258936,13,2,"NCSS",41
"2766","03CA632022",NA,6224564.57497275,3616432.59631857,23,2,"NCSS",48
"2767","04CA632036",NA,6217709.68384915,3627988.68746113,35,2,"NCSS",50
"2768","04CA632037",NA,6225184.63425916,3618588.77460336,52,2,"NCSS",119
"2769","06CA630JCR006",NA,6274824.21220842,3604429.19144952,32,2,"NCSS",319
"2770","06CA630SMM007",NA,6261143.15657248,3605095.43390516,6,2,"NCSS",260
"2771","07CA630JCR002",NA,6232757.19070713,3612698.8769797,33,2,"NCSS",81
"2772","07CA630SMM007",NA,6259745.06119169,3606697.2984468,16,2,"NCSS",155
"2773","07CA630SMM015",NA,6268876.85783105,3651980.99221689,31,2,"NCSS",203
"2774","07CA630SMM017",NA,6270028.74134294,3652799.13906468,16,2,"NCSS",217
"2775","07CA630SMM040",NA,6272405.49899906,3657932.74346137,45,2,"NCSS",208
"2776","07CA630SMM042",NA,6269871.12727695,3658714.2725791,22,2,"NCSS",218
"2777","07CA630SMM044",NA,6275552.08819383,3659310.00285793,29,2,"NCSS",220
"2778","07CA630SMM045",NA,6272405.49899906,3657932.74346137,16,2,"NCSS",73
"2779","08CA630DWB001",NA,6255195.66396425,3636258.01548708,41,2,"NCSS",204
"2780","08CA630DWB003",NA,6255195.66396425,3636258.01548708,26,2,"NCSS",64
"2781","09CA630BJM095",NA,6262733.6075387,3643316.32800665,17,2,"NCSS",203
"2782","10CA630BJM074",NA,6235536.21570593,3622404.00416212,22,2,"NCSS",203
"2783","10CA630CKS003",NA,6247525.49851891,3609289.31306336,19,2,"NCSS",40
"2784","10CA630MJE005",NA,6250214.58894427,3615499.43340777,20,2,"NCSS",203
"2785","11CA630CKS074",NA,6234328.44399697,3643929.91877858,27,2,"NCSS",80
"2786","11CA630CKS075",NA,6259154.85905889,3620954.2104219,46,2,"NCSS",82
"2787","11CA630DEB012",NA,6233171.20794436,3643117.20180262,20,2,"NCSS",75
"2788","11CA630DEB037",NA,6233707.37527118,3641774.00818845,13,2,"NCSS",203
"2789","11CA630DEB094N",NA,6234017.89358854,3642851.96743234,19,2,"NCSS",203
"2790","11CA630MJE008",NA,6250427.57904102,3625996.56895149,26,2,"NCSS",160
